"","lat","lng","type","distance","site","state","latitude","longitude"
"193",32.759628,-103.1790095,"Essential Services",9079.35998266671,"1012121","New Mexico",32.68204,-103.14912
"194",32.4367172,-103.159679,"Essential Services",27327.1725890028,"1012121","New Mexico",32.68204,-103.14912
"195",32.4346954,-103.1598198,"Essential Services",27552.5701740944,"1012121","New Mexico",32.68204,-103.14912
"196",47.2867873,-101.9240737,"Essential Services",10482.1364587648,"1002440","North Dakota",47.360814,-101.838222
"197",47.2706706,-101.7777662,"Essential Services",11023.2841636611,"1002440","North Dakota",47.360814,-101.838222
"198",47.2995163,-101.6150667,"Essential Services",18167.0917923867,"1002440","North Dakota",47.360814,-101.838222
"199",47.2892768,-102.0665808,"Essential Services",18982.3702447,"1002440","North Dakota",47.360814,-101.838222
"200",47.30612,-102.2043422,"Essential Services",28284.8274017577,"1002440","North Dakota",47.360814,-101.838222
"201",47.2870914,-101.9241567,"Essential Services",10459.4143321936,"1002440","North Dakota",47.360814,-101.838222
"202",47.2632978,-101.7772119,"Essential Services",11791.715496857,"1002440","North Dakota",47.360814,-101.838222
"203",47.2938236,-101.6250258,"Essential Services",17730.8477348507,"1002440","North Dakota",47.360814,-101.838222
"204",47.2895366,-102.0649181,"Essential Services",18856.330484183,"1002440","North Dakota",47.360814,-101.838222
"205",47.304561,-102.202365,"Essential Services",28177.6291481468,"1002440","North Dakota",47.360814,-101.838222
"206",47.2636806,-101.7777319,"Essential Services",11737.1693860018,"1002440","North Dakota",47.360814,-101.838222
"207",47.2990075,-101.6170979,"Essential Services",18046.7442130795,"1002440","North Dakota",47.360814,-101.838222
"208",47.27894,-101.7824094,"Essential Services",10040.3053472973,"1002440","North Dakota",47.360814,-101.838222
"209",47.2637708,-101.785141,"Essential Services",11521.7506835729,"1002440","North Dakota",47.360814,-101.838222
"210",47.2636518,-101.7777364,"Essential Services",11739.9913835018,"1002440","North Dakota",47.360814,-101.838222
"211",47.2945862,-101.6447975,"Essential Services",16350.8405655728,"1002440","North Dakota",47.360814,-101.838222
